"Textfield """"","Product sales"


"Textfield """"","Mab´s
Nº  de contribuinte: 34143941000104"


"Textfield """"","Av. Prado Junior, 16 Loja A
22011040  - Rio de Janeiro"


"Textfield """"","[ 2018-12-15 ]"


"Table ""openCashBox""","","","Vendas por Artigo","","","","","","",""
"","","","","","","","","",""
"","","Descrição","Quantidade","Desconto s/IVA","Desconto c/IVA","Total","Total c/IVA","Gross Total",""
"","","L.Neck Antartica","1.00","R$ 0.00","R$ 0.00","R$ 11.00","R$ 11.00","R$ 11.00",""
"","","Destilados","6.00","R$ 0.00","R$ 0.00","R$ 108.00","R$ 108.00","R$ 108.00",""
"","","Smirnoff (dose)","5.00","R$ 0.00","R$ 0.00","R$ 90.00","R$ 90.00","R$ 90.00",""
"","","Smirnoff (dose)","1.00","R$ 0.00","R$ 0.00","R$ 18.00","R$ 18.00","R$ 18.00",""
"","","Doses Diversas","6.00","R$ 0.00","R$ 0.00","R$ 108.00","R$ 108.00","R$ 108.00",""
"","","Sambuca","2.00","R$ 0.00","R$ 0.00","R$ 36.00","R$ 36.00","R$ 36.00",""
"","","Sambuca","3.00","R$ 0.00","R$ 0.00","R$ 54.00","R$ 54.00","R$ 54.00",""
"","","Sambuca","1.00","R$ 0.00","R$ 0.00","R$ 18.00","R$ 18.00","R$ 18.00",""
"","","Drinks","11.00","R$ 0.00","R$ 0.00","R$ 187.48","R$ 218.00","R$ 218.00",""
"","","CaipVodka house","2.00","R$ 0.00","R$ 0.00","R$ 37.84","R$ 44.00","R$ 44.00",""
"","","Caipirinha House","1.00","R$ 0.00","R$ 0.00","R$ 15.48","R$ 18.00","R$ 18.00",""
"","","Caipirinha House","2.00","R$ 0.00","R$ 0.00","R$ 30.96","R$ 36.00","R$ 36.00",""
"","","Capirinha Salinas","4.00","R$ 0.00","R$ 0.00","R$ 68.80","R$ 80.00","R$ 80.00",""
"","","Caipirinha House","1.00","R$ 0.00","R$ 0.00","R$ 15.48","R$ 18.00","R$ 18.00",""
"","","CaipVodka house","1.00","R$ 0.00","R$ 0.00","R$ 18.92","R$ 22.00","R$ 22.00",""
"","","Especiais","5.00","R$ 0.00","R$ 0.00","R$ 81.70","R$ 95.00","R$ 95.00",""
"","","[Terç] prato x","2.00","R$ 0.00","R$ 0.00","R$ 43.00","R$ 50.00","R$ 50.00",""
"","","Refeição R$15","2.00","R$ 0.00","R$ 0.00","R$ 25.80","R$ 30.00","R$ 30.00",""
"","","Refeição R$15","1.00","R$ 0.00","R$ 0.00","R$ 12.90","R$ 15.00","R$ 15.00",""
"","","Executivo","23.00","R$ 92.57","R$ 107.64","R$ 419.99","R$ 488.36","R$ 596.00",""
